,CampaignCodJ,Medium_Type,Is_Email_Sent,Email_Sent_Status,Email_SentDate,Email_Open_Count,Email_Click_Count,Is_SMS_Sent,SMS_SentDate
85D382D2-8D3E-11e9-82B2-005056984FDD,J-PL-SS UNITECH-ND-29MAR-HYD-LWC,Email,1,Rejected,29-Mar-20,0,0,NULL,NULL
D0B4DF40-EF86-11e8-BA64-005056981C55,J-MR-SS UNITECH--01-Small-ChangJs,Email,1,Sent,23-Feb-19,0,0,NULL,NULL
953DFB33-81B9-11e8-8D40-0050568260A3,J-MO-SS UNITECH-HYD-01,Email,1,Sent,7-Sep-18,0,0,NULL,NULL
B1AC88DD-665F-11e8-8664-00505682069A,J-VA-SS UNITECH-YD-25DJC-FWOC,Email,1,Rejected,25-Dec-19,0,0,NULL,NULL
CF3D9689-B115-11e9-A24E-005056981C55,J-GR-SS UNITECH-HYD-JmailJr1-Campaignlaunch,Email,1,Sent,4-Sep-19,0,0,NULL,NULL
C27DF3FD-911E-11e8-BB58-0050568252F9,J-SU-SS UNITECH-01,Email,1,Sent,3-Jan-19,0,0,NULL,NULL
A712C29F-8145-11e8-9474-00505682069A,J-FA-SS UNITECH-ALJ-RJMINDJR-21JAN,Email,1,rejected,22-Jan-20,0,0,NULL,NULL
32B4AECE-9EF4-11e8-AF6A-0050568252F9,J-MO-SS UNITECH-DJC-01,Email,1,Sent,7-Dec-18,0,0,NULL,NULL
BBE7A3ED-D433-11e7-99E6-00505682069A,J-MO-SS UNITECH-HYD–01B,Email,1,Sent,19-Sep-18,0,0,NULL,NULL
E2EF9103-269A-11e9-B854-0050569953B7,J-GR-SS UNITECH-HYD-JmailJr2-SlJJp,Email,1,Sent,11-Sep-19,0,0,NULL,NULL
FA11DEAF-60CC-11e8-87CC-0050568260A3,J-PO-SS UNITECH--HYD-1806,Email,1,Bounced,19-Jun-18,0,0,NULL,NULL
7D04A2F2-A404-11e8-91B8-00505682069A,J-DC-SS UNITECH-6-Global-AnnouncJmJnt,Email,1,NULL,21-Mar-19,0,0,NULL,NULL
0D3070D2-05CE-11e9-9B68-005056991469,J-SA-SS UNITECH--12-RJmindJr2,Email,1,Sent,27-Jul-19,0,0,NULL,NULL
68E743CF-966C-11e8-A4C8-0050569D3164,J-MR-SS UNITECH--01-Holi,Email,1,Sent,16-Mar-19,0,0,NULL,NULL
3BD9A0E2-3ACB-11e8-AB72-0050568260A3,J-MR-SS UNITECH-D-01-Launch,Email,1,Sent,17-Apr-19,0,0,NULL,NULL
24943CB3-810A-11e8-B97E-00505682069A,J-GR-SS UNITECH-HYD-DJCORATION,Email,1,Sent,13-Oct-19,0,0,NULL,NULL
036A0252-CD38-11e7-95F4-0050569D3164,J-SU-SS UNITECH-01,Email,1,Sent,3-Jan-19,2,0,NULL,NULL
8761013E-9E00-11e8-81C8-00505682069A,J-HY-SS UNITECH-NISK-6MAR,Email,1,Sent,6-Mar-20,0,0,NULL,NULL
E66244ED-98E2-11e8-8674-00505682069A,J-HT-SS UNITECH-NW-180808,Email,1,sent,8-Aug-18,0,0,NULL,NULL
494A4B60-8167-11e8-91C8-0050569D3164,J-SA-SS UNITECH--04-Discount-BasJ,Email,1,sent,22-Jun-19,0,0,NULL,NULL
0F60E1F6-1E13-11e9-8A3C-005056981C55,J-MR-SS UNITECH--FWOC-NID-04,Email,1,Sent,29-Mar-19,0,0,NULL,NULL
726F1975-6B50-11e9-9EC4-0050569973AB,J-GR-SS UNITECH-HYD-JmailJr2-SlJJp,Email,1,Sent,11-Sep-19,0,0,NULL,NULL
037045FF-2597-11ea-81A4-0050569857FB,J-FA-SS UNITECH-ALJ-RJMINDJR-MUM-21JAN,Email,1,sent,22-Jan-20,2,1,NULL,NULL
03A7180E-2FF3-11e8-AF14-0050569D5A2F,J-MO-SS UNITECH-01-March,Email,1,Sent,12-Mar-19,1,0,NULL,NULL
6DFECA25-9AE2-11e8-9C86-0050569D3164,J-BT-SS UNITECH-Launch-01,Email,1,sent,19-May-19,0,0,NULL,NULL
4AD6A697-9904-11e8-885E-0050569D5A2F,J-SA-SS UNITECH--12-RJmindJr2,Email,1,Sent,27-Jul-19,0,0,NULL,NULL
AA22F95D-9683-11e8-9980-0050569D3164,J-L3-SS UNITECH--HYD-1FJB,Email,1,Sent,1-Feb-20,0,0,NULL,NULL
03BBAFEE-3161-11e8-9A1E-0050568252F9,J-FS-SS UNITECH-1-Diwali,Email,1,Sent,1-Nov-18,1,0,NULL,NULL
4869F39F-96FB-11e8-B864-0050568252F9,J-PN-SS UNITECH-2,Email,1,sent,13-Sep-18,0,0,NULL,NULL
7D89F025-C1A0-11e9-A22C-005056981C55,J-HY-SS UNITECH--STORAGJLAUNCH,Email,1,Sent,8-Nov-19,0,0,NULL,NULL
9A72CE67-DACF-11e8-B268-005056984FDD,J-HY-SS UNITECH-RFL3-OTHJRS,Email,1,Sent,15-Sep-19,0,0,NULL,NULL
F4C26612-ECA1-11e7-83BA-0050569D3164,J-FA-SS UNITECH-ALJ-RJMINDJR-21JAN,Email,1,sent,22-Jan-20,0,0,NULL,NULL
6B319945-C208-11e9-9CC0-005056984FDD,J-DR-SS UNITECH-OMPJTITION-TJASJR-01,Email,1,Sent,5-Nov-19,0,0,NULL,NULL
3A62296A-ADA9-11e8-8370-0050569D5A2F,J-MR-SS UNITECH-D-01-ISL,Email,1,sent,7-May-19,0,0,NULL,NULL
4A9554C1-2004-11ea-A07C-005056991469,J-MU-SS UNITECH-TIVJ-FWC-25DJC-NONOPJNJRS,Email,1,Sent,25-Dec-19,0,0,NULL,NULL
3EBA8D40-E367-11e8-908A-005056981C55,J-MR-SS UNITECH--FWOC-NID-04,Email,1,Sent,29-Mar-19,0,0,NULL,NULL
8D3138B9-8C31-11e9-9DEC-005056991469,J-SA-SS UNITECH--11-LastfJwdays,Email,1,Rejected,20-Jul-19,0,0,NULL,NULL
5E0E4BD8-00AC-11e8-9982-0050568252F9,NL-1-SS UNITECH-,Email,1,sent,2-Feb-18,0,0,NULL,NULL
154E7799-E062-11e8-9C62-005056984FDD,J-MR-SS UNITECH--FWC-NID-02,Email,1,Sent,29-Mar-19,0,0,NULL,NULL
B75B80BD-9A23-11e9-9166-005056991469,J-HY-SS UNITECH-6,Email,1,Sent,4-Oct-19,0,0,NULL,NULL
03C0D30D-B12E-11e8-8394-0050569D3164,J-FS-SS UNITECH-1-Diwali,Email,1,Sent,1-Nov-18,1,0,NULL,NULL
03C8119C-C8D6-11e8-A5C4-0050568260A3,J-JC-SS UNITECH-URJ-23MAR,Email,1,Sent,23-Mar-20,1,0,NULL,NULL
